Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 07:57:49 2024

Initialized Ramulator. 
Address in frontend: 00005647AB932C8D, Iclass: JUMP
Address in frontend: 00005647AB932C8F, Iclass: ALU
Address in frontend: 00005647AB932C93, Iclass: ALU
Address in frontend: 00005647AB932C96, Iclass: MOV
Address in frontend: 00005647AB932C9E, Iclass: MOV
Address in frontend: 00005647AB932CA1, Iclass: MOV
Address in frontend: 00005647AB932CA9, Iclass: ALU
Address in frontend: 00005647AB932CAC, Iclass: MOV
Address in frontend: 00005647AB932CAE, Iclass: JUMP
Address in frontend: 00005647AB932CB0, Iclass: ALU
Address in frontend: 00005647AB932CB3, Iclass: JUMP
Address in frontend: 00005647AB932D70, Iclass: MOV
Address in frontend: 00005647AB932D72, Iclass: MOV
Address in frontend: 00005647AB932D75, Iclass: MOV
Address in frontend: 00005647AB932D79, Iclass: MOV
Address in frontend: 00005647AB932D7E, Iclass: JUMP
Address in frontend: 00005647AB932CCC, Iclass: MOV
Address in frontend: 00005647AB932CCF, Iclass: POP
Address in frontend: 00005647AB932CD0, Iclass: POP
Address in frontend: 00005647AB932CD2, Iclass: POP
Address in frontend: 00005647AB932CD4, Iclass: POP
Address in frontend: 00005647AB932CD6, Iclass: POP
Address in frontend: 00005647AB932CD7, Iclass: POP
Address in frontend: 00005647AB932B63, Iclass: ALU
Address in frontend: 00005647AB932B67, Iclass: JUMP
Address in frontend: 00005647AB932B69, Iclass: ALU
Address in frontend: 00005647AB932B6C, Iclass: JUMP
Address in frontend: 00005647AB932B6E, Iclass: ALU
Address in frontend: 00005647AB932B71, Iclass: JUMP
Address in frontend: 00005647AB932B77, Iclass: ALU
Address in frontend: 00005647AB932B7A, Iclass: ALU
Address in frontend: 00005647AB932B7D, Iclass: JUMP
Address in frontend: 00005647AB932B7F, Iclass: ALU
Address in frontend: 00005647AB932B83, Iclass: ALU
Address in frontend: 00005647AB932B85, Iclass: POP
Address in frontend: 00005647AB932B86, Iclass: POP
Address in frontend: 00005647AB932B88, Iclass: POP
Address in frontend: 00005647AB932B8A, Iclass: POP
Address in frontend: 00005647AB932B8B, Iclass: POP
Address in frontend: 00005647AB9329E7, Iclass: ALU
Address in frontend: 00005647AB9329E9, Iclass: JUMP
Address in frontend: 00005647AB9329EB, Iclass: MOV
Address in frontend: 00005647AB9329EF, Iclass: MOV
Address in frontend: 00005647AB9329F3, Iclass: MOV
Address in frontend: 00005647AB9329F6, Iclass: ALU
Address in frontend: 00005647AB9329FA, Iclass: JUMP
Address in frontend: 00005647AB932A30, Iclass: ALU
Address in frontend: 00005647AB932A33, Iclass: ALU
Address in frontend: 00005647AB932A3A, Iclass: MOV
Address in frontend: 00005647AB932A3D, Iclass: MOV
Address in frontend: 00005647AB932A40, Iclass: JUMP
Address in frontend: 00005647AB932A42, Iclass: MOV
Address in frontend: 00005647AB932A45, Iclass: ALU
Address in frontend: 00005647AB932A4B, Iclass: MOV
