Scarab gitrev: d92c720
starlab_do_write is: 1
Scarab started at Thu Jan  2 21:12:35 2025

Initialized Ramulator. 
XED decode error for 0xffffffffa2bbd9c7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd9cd: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd9d2: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd9d8: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd9de: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd9e4: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd9eb: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd9f1: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd9fa: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda00: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda06: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda0c: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda12: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda18: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda1e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda24: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda2a: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda30: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda37: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda40: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda49: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda52: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda57: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda60: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda66: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda6f: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda78: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda81: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda8a: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda93: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbda9c: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdaa5: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdaae: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdab7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdac0: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdac9: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdad2: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdadb: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdae4: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdaed: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdaf7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb01: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb0b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb14: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb1d: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb27: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb31: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb36: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb3b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb40: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb49: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb4f: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb55: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb5e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb68: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb72: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb78: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb81: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb8a: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb94: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdb9e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdba5: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdbae: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdbb7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdbbd: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdbc3: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdbc9: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdbcf: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdbd6: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdbdd: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdbe2: BUFFER_TOO_SHORT 2, replacing with nop
