Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 10:52:33 2024

Initialized Ramulator. 
Address in frontend: 000055DECEF69C7C, Iclass: ALU
Address in frontend: 000055DECEF69C80, Iclass: JUMP
Address in frontend: 000055DECEF69C82, Iclass: ALU
Address in frontend: 000055DECEF69C85, Iclass: MOV
Address in frontend: 000055DECEF69C8D, Iclass: JUMP
Address in frontend: 000055DECEF69C8F, Iclass: ALU
Address in frontend: 000055DECEF69C93, Iclass: ALU
Address in frontend: 000055DECEF69C96, Iclass: MOV
Address in frontend: 000055DECEF69C9E, Iclass: MOV
Address in frontend: 000055DECEF69CA1, Iclass: MOV
Address in frontend: 000055DECEF69CA9, Iclass: ALU
Address in frontend: 000055DECEF69CAC, Iclass: MOV
Address in frontend: 000055DECEF69CAE, Iclass: JUMP
Address in frontend: 000055DECEF69D20, Iclass: MOV
Address in frontend: 000055DECEF69D23, Iclass: ALU
Address in frontend: 000055DECEF69D27, Iclass: ALU
Address in frontend: 000055DECEF69D2B, Iclass: MOV
Address in frontend: 000055DECEF69D2E, Iclass: MOV
Address in frontend: 000055DECEF69D30, Iclass: MOV
Address in frontend: 000055DECEF69D35, Iclass: MOV
Address in frontend: 000055DECEF69D3A, Iclass: ALU
Address in frontend: 000055DECEF69D3D, Iclass: MOV
Address in frontend: 000055DECEF69D40, Iclass: ALU
Address in frontend: 000055DECEF69D44, Iclass: ALU
Address in frontend: 000055DECEF69D47, Iclass: ALU
Address in frontend: 000055DECEF69D4A, Iclass: ALU
Address in frontend: 000055DECEF69D4D, Iclass: POP
Address in frontend: 000055DECEF69D4E, Iclass: POP
Address in frontend: 000055DECEF69D50, Iclass: POP
Address in frontend: 000055DECEF69D52, Iclass: POP
Address in frontend: 000055DECEF69D54, Iclass: POP
Address in frontend: 000055DECEF69D55, Iclass: POP
Address in frontend: 000055DECEF69B63, Iclass: ALU
Address in frontend: 000055DECEF69B67, Iclass: JUMP
Address in frontend: 000055DECEF69B69, Iclass: ALU
Address in frontend: 000055DECEF69B6C, Iclass: JUMP
Address in frontend: 000055DECEF69B6E, Iclass: ALU
Address in frontend: 000055DECEF69B71, Iclass: JUMP
Address in frontend: 000055DECEF69B77, Iclass: ALU
Address in frontend: 000055DECEF69B7A, Iclass: ALU
Address in frontend: 000055DECEF69B7D, Iclass: JUMP
Address in frontend: 000055DECEF69B7F, Iclass: ALU
Address in frontend: 000055DECEF69B83, Iclass: ALU
Address in frontend: 000055DECEF69B85, Iclass: POP
Address in frontend: 000055DECEF69B86, Iclass: POP
Address in frontend: 000055DECEF69B88, Iclass: POP
Address in frontend: 000055DECEF69B8A, Iclass: POP
Address in frontend: 000055DECEF69B8B, Iclass: POP
Address in frontend: 000055DECEF69B04, Iclass: ALU
Address in frontend: 000055DECEF69B06, Iclass: JUMP
Address in frontend: 000055DECEF69B0C, Iclass: JUMP
Address in frontend: 000055DECEF69A03, Iclass: MOV
Address in frontend: 000055DECEF69A07, Iclass: ALU
Address in frontend: 000055DECEF69A10, Iclass: MOV
Address in frontend: 000055DECEF69A17, Iclass: MOV
Address in frontend: 000055DECEF69A1A, Iclass: JUMP
Address in frontend: 000055DECEF69A20, Iclass: ALU
Address in frontend: 000055DECEF69A24, Iclass: POP
Address in frontend: 000055DECEF69A25, Iclass: POP
Address in frontend: 000055DECEF69A27, Iclass: POP
Address in frontend: 000055DECEF69A29, Iclass: POP
Address in frontend: 000055DECEF69A2A, Iclass: POP
Address in frontend: 000055DECEF6988C, Iclass: ALU
Address in frontend: 000055DECEF69892, Iclass: MOV
Address in frontend: 000055DECEF69896, Iclass: JUMP
Address in frontend: 000055DECEF6989C, Iclass: ALU
Address in frontend: 000055DECEF698A0, Iclass: ALU
Address in frontend: 000055DECEF698A4, Iclass: MOV
Address in frontend: 000055DECEF698A8, Iclass: JUMP
Address in frontend: 000055DECEF698AE, Iclass: MOV
Address in frontend: 000055DECEF698B4, Iclass: JUMP
Address in frontend: 000055DECEF696B0, Iclass: MOV
Address in frontend: 000055DECEF696B4, Iclass: ALU
