Scarab gitrev: bc72524
Scarab started at Wed Nov 13 17:03:43 2024

Initialized Ramulator. 
XED decode error for 0x7f2f98642900: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98643930: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98642220: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98642960: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98644dd0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9865fe60: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9865f9a0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98643760: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98643590: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98642890: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986422d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986436c0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9865f960: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986427f0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986423b0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98643980: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98642350: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98643ad0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986610d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9865ff30: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9865f9e0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986429a0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98642280: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986427b0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9864bd20: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986439d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98643550: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9865fab0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98642c60: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986438d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98643870: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9865fea0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98644e10: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98643a20: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b73dc0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989d9680: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989bc090: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989d5160: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989c60d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989d7cd0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989db2e0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989d81f0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989bfd90: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989db210: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989bf4e0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989b79a0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989daba0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989b7950: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989e19f0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989bbb50: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989c6080: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b71bf0: BUFFER_TOO_SHORT 3, replacing with nop
** Heartbeat:   1% -- { 1000000 } -- 0.00 KIPS (66.67 KIPS)
** Heartbeat:   2% -- { 2000002 } -- 76.92 KIPS (71.43 KIPS)
XED decode error for 0x7f2f98674090: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98642830: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986d08e0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98673f70: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98643470: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b73770: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b7c010: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b78f40: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b7e1f0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b70c10: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b26000: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b26dc0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b343d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b26a30: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b264d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b77bb0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b700b0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b73680: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b265d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b26070: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986b6ec0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b26940: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b263e0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98637850: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986378c0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b360d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b26a10: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b264b0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b26bc0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b36170: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c6f30: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986c20e0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c55e0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9872b490: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985d7460: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c6a20: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c6a80: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98795000: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98795920: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98795d10: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989a0000: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f989a0480: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98845000: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f988561d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f988559b0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9884adb0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98846c50: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98857230: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9884a2f0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98846190: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985e9f60: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985e9d00: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98855a40: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9884a240: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f988460e0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98883cb0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9884b800: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f988476a0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98859820: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9884a030: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98845ed0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98859920: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98855a60: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98849f10: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98845db0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9863d260: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9863cc90: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98702400: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b2afc0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c5510: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c51e0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b74480: BUFFER_TOO_SHORT 3, replacing with nop
** Heartbeat:   3% -- { 3000002 } -- 71.43 KIPS (71.43 KIPS)
XED decode error for 0x7f2f98b2c7b0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c5450: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c5120: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9863fd00: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986b7440: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986b73e0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98855ae0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98855bf0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98855e00: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98855e40: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98855ec0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98855f40: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98856000: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f988560c0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98aed000: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98aed750: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b0f000: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b0f2e0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b10150: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b17000: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b17960: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c6fc0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985e9020: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c5460: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9872b660: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b31520: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b32bf0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98884c20: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9884ae20: BUFFER_TOO_SHORT 3, replacing with nop
