Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 07:27:19 2024

Initialized Ramulator. 
Address in frontend: 000055B6B33C9CC0, Iclass: ALU
Address in frontend: 000055B6B33C9CC2, Iclass: JUMP
Address in frontend: 000055B6B33C9CC4, Iclass: MOV
Address in frontend: 000055B6B33C9CC9, Iclass: ALU
Address in frontend: 000055B6B33C9CCE, Iclass: JUMP
Address in frontend: 000055B6B33C9CD4, Iclass: MOV
Address in frontend: 000055B6B33C9CD7, Iclass: ALU
Address in frontend: 000055B6B33C9CDB, Iclass: ALU
Address in frontend: 000055B6B33C9CE3, Iclass: ALU
Address in frontend: 000055B6B33C9CE7, Iclass: MOV
Address in frontend: 000055B6B33C9CEC, Iclass: MOV
Address in frontend: 000055B6B33C9CEF, Iclass: ALU
Address in frontend: 000055B6B33C9CF3, Iclass: ALU
Address in frontend: 000055B6B33C9CF6, Iclass: JUMP
Address in frontend: 000055B6B33C9D1E, Iclass: ALU
Address in frontend: 000055B6B33C9D22, Iclass: MOV
Address in frontend: 000055B6B33C9D26, Iclass: ALU
Address in frontend: 000055B6B33C9D28, Iclass: JUMP
Address in frontend: 000055B6B33C9D00, Iclass: MOV
Address in frontend: 000055B6B33C9D03, Iclass: ALU
Address in frontend: 000055B6B33C9D07, Iclass: ALU
Address in frontend: 000055B6B33C9D0B, Iclass: ALU
Address in frontend: 000055B6B33C9D0E, Iclass: JUMP
Address in frontend: 000055B6B33C9D14, Iclass: ALU
Address in frontend: 000055B6B33C9D17, Iclass: ALU
Address in frontend: 000055B6B33C9D1B, Iclass: ALU
Address in frontend: 000055B6B33C9E90, Iclass: MOV
Address in frontend: 000055B6B33C9E93, Iclass: ALU
Address in frontend: 000055B6B33C9E96, Iclass: JUMP
Address in frontend: 000055B6B33C9E98, Iclass: MOV
Address in frontend: 000055B6B33C9E9D, Iclass: ALU
Address in frontend: 000055B6B33C9EA1, Iclass: JUMP
Address in frontend: 000055B6B33C9EA7, Iclass: ALU
Address in frontend: 000055B6B33C9EAA, Iclass: MOV
Address in frontend: 000055B6B33C9EAE, Iclass: MOV
Address in frontend: 000055B6B33C9EB3, Iclass: JUMP
Address in frontend: 000055B6B33C9EB9, Iclass: MOV
Address in frontend: 000055B6B33C9EBC, Iclass: ALU
Address in frontend: 000055B6B33C9EBF, Iclass: ALU
Address in frontend: 000055B6B33C9EC7, Iclass: JUMP
Address in frontend: 000055B6B33C9EE1, Iclass: MOV
Address in frontend: 000055B6B33C9EE4, Iclass: ALU
Address in frontend: 000055B6B33C9EE8, Iclass: ALU
Address in frontend: 000055B6B33C9EEB, Iclass: JUMP
Address in frontend: 000055B6B33C9ED0, Iclass: ALU
Address in frontend: 000055B6B33C9ED4, Iclass: ALU
Address in frontend: 000055B6B33C9ED8, Iclass: ALU
Address in frontend: 000055B6B33C9EDB, Iclass: JUMP
Address in frontend: 000055B6B33C9EED, Iclass: ALU
Address in frontend: 000055B6B33C9EF0, Iclass: ALU
Address in frontend: 000055B6B33C9EF3, Iclass: JUMP
Address in frontend: 000055B6B33C9E79, Iclass: ALU
Address in frontend: 000055B6B33C9E7D, Iclass: JUMP
Address in frontend: 000055B6B33C9E83, Iclass: JUMP
Address in frontend: 000055B6B33C9C55, Iclass: ALU
Address in frontend: 000055B6B33C9C57, Iclass: JUMP
Address in frontend: 000055B6B33C9C59, Iclass: MOV
Address in frontend: 000055B6B33C9C5B, Iclass: ALU
Address in frontend: 000055B6B33C9C5D, Iclass: JUMP
Address in frontend: 000055B6B33CA036, Iclass: ALU
Address in frontend: 000055B6B33CA038, Iclass: ALU
Address in frontend: 000055B6B33CA03D, Iclass: JUMP
Address in frontend: 000055B6B33C9CAC, Iclass: ALU
Address in frontend: 000055B6B33C9CB0, Iclass: POP
Address in frontend: 000055B6B33C9CB1, Iclass: POP
Address in frontend: 000055B6B33C9CB3, Iclass: POP
Address in frontend: 000055B6B33C9CB5, Iclass: POP
Address in frontend: 000055B6B33C9CB7, Iclass: POP
Address in frontend: 000055B6B33C9CB8, Iclass: POP
Address in frontend: 000055B6B534A940, Iclass: PUSH
Address in frontend: 000055B6B534A941, Iclass: MOV
Address in frontend: 000055B6B534A944, Iclass: PUSH
Address in frontend: 000055B6B534A946, Iclass: PUSH
Address in frontend: 000055B6B534A948, Iclass: PUSH
Address in frontend: 000055B6B534A949, Iclass: MOV
Address in frontend: 000055B6B534A94C, Iclass: ALU
Address in frontend: 000055B6B534A950, Iclass: MOV
Address in frontend: 000055B6B534A953, Iclass: ALU
Address in frontend: 000055B6B534A956, Iclass: JUMP
Address in frontend: 000055B6B534A9E9, Iclass: MOV
Address in frontend: 000055B6B534A9EE, Iclass: ALU
Address in frontend: 000055B6B534A9F1, Iclass: ALU
Address in frontend: 000055B6B534A9F4, Iclass: ALU
Address in frontend: 000055B6B534A9F8, Iclass: ALU
Address in frontend: 000055B6B534A9FC, Iclass: ALU
Address in frontend: 000055B6B534AA00, Iclass: ALU
Address in frontend: 000055B6B534AA04, Iclass: ALU
Address in frontend: 000055B6B534AA0B, Iclass: JUMP
Address in frontend: 000055B6B534AA11, Iclass: ALU
Address in frontend: 000055B6B534AA15, Iclass: ALU
Address in frontend: 000055B6B534AA1C, Iclass: JUMP
Address in frontend: 000055B6B534AA22, Iclass: ALU
Address in frontend: 000055B6B534AA29, Iclass: ALU
Address in frontend: 000055B6B534AA2D, Iclass: MOV
Address in frontend: 000055B6B534AA31, Iclass: MOV
Address in frontend: 000055B6B534AA38, Iclass: ALU
Address in frontend: 000055B6B534AA40, Iclass: JUMP
Address in frontend: 000055B6B534AA46, Iclass: MOV
Address in frontend: 000055B6B534AA4C, Iclass: ALU
Address in frontend: 000055B6B534AA53, Iclass: MOV
Address in frontend: 000055B6B534AA57, Iclass: MOV
Address in frontend: 000055B6B534AA5C, Iclass: MOV
Address in frontend: 000055B6B534AA62, Iclass: ALU
Address in frontend: 000055B6B534AA6A, Iclass: ALU
Address in frontend: 000055B6B534AA6E, Iclass: POP
Address in frontend: 000055B6B534AA6F, Iclass: POP
Address in frontend: 000055B6B534AA71, Iclass: POP
Address in frontend: 000055B6B534AA73, Iclass: JUMP
Address in frontend: 00007FEF61CEEAD0, Iclass: MOV
Address in frontend: 00007FEF61CEEAD3, Iclass: ALU
Address in frontend: 00007FEF61CEEAD7, Iclass: JUMP
Address in frontend: 00007FEF61CEEB22, Iclass: ALU
Address in frontend: 00007FEF61CEEB25, Iclass: JUMP
Address in frontend: 00007FEF61CEEB3E, Iclass: MOV
Address in frontend: 00007FEF61CEEB42, Iclass: MOV
Address in frontend: 00007FEF61CEEB48, Iclass: MOV
Address in frontend: 00007FEF61CEEB4C, Iclass: JUMP
Address in frontend: 000055B6B534A360, Iclass: PUSH
Address in frontend: 000055B6B534A361, Iclass: MOV
Address in frontend: 000055B6B534A364, Iclass: PUSH
Address in frontend: 000055B6B534A366, Iclass: PUSH
Address in frontend: 000055B6B534A368, Iclass: PUSH
Address in frontend: 000055B6B534A369, Iclass: ALU
Address in frontend: 000055B6B534A36D, Iclass: MOV
Address in frontend: 000055B6B534A370, Iclass: ALU
Address in frontend: 000055B6B534A374, Iclass: MOV
Address in frontend: 000055B6B534A378, Iclass: ALU
Address in frontend: 000055B6B534A37C, Iclass: ALU
Address in frontend: 000055B6B534A37F, Iclass: ALU
Address in frontend: 000055B6B534A382, Iclass: JUMP
Address in frontend: 000055B6B534A3A0, Iclass: MOV
Address in frontend: 000055B6B534A3A4, Iclass: ALU
Address in frontend: 000055B6B534A3A6, Iclass: JUMP
Address in frontend: 000055B6B534A397, Iclass: ALU
Address in frontend: 000055B6B534A39B, Iclass: ALU
Address in frontend: 000055B6B534A39E, Iclass: JUMP
Address in frontend: 000055B6B534A3A8, Iclass: MOV
Address in frontend: 000055B6B534A3AB, Iclass: MOV
Address in frontend: 000055B6B534A3AD, Iclass: ALU
Address in frontend: 000055B6B534A3B0, Iclass: JUMP
Address in frontend: 000055B6B534A390, Iclass: JUMP
Address in frontend: 000055B6B534A392, Iclass: ALU
Address in frontend: 000055B6B534A395, Iclass: MOV
Address in frontend: 000055B6B534A3D0, Iclass: MOV
Address in frontend: 000055B6B534A3D7, Iclass: ALU
Address in frontend: 000055B6B534A3E0, Iclass: JUMP
Address in frontend: 000055B6B534A3E2, Iclass: ALU
Address in frontend: 000055B6B534A3E7, Iclass: JUMP
Address in frontend: 000055B6B534A3E9, Iclass: MOV
Address in frontend: 000055B6B534A3EC, Iclass: CALL
Address in frontend: 000055B6B2A77540, Iclass: PUSH
Address in frontend: 000055B6B2A77541, Iclass: MOV
Address in frontend: 000055B6B2A77544, Iclass: PUSH
Address in frontend: 000055B6B2A77546, Iclass: PUSH
Address in frontend: 000055B6B2A77547, Iclass: ALU
Address in frontend: 000055B6B2A7754B, Iclass: ALU
Address in frontend: 000055B6B2A77554, Iclass: JUMP
Address in frontend: 000055B6B2A7755A, Iclass: MOV
Address in frontend: 000055B6B2A77563, Iclass: ALU
Address in frontend: 000055B6B2A7756A, Iclass: JUMP
Address in frontend: 000055B6B2A776E0, Iclass: ALU
Address in frontend: 000055B6B2A776E2, Iclass: ALU
Address in frontend: 000055B6B2A776E9, Iclass: MOV
Address in frontend: 000055B6B2A776EE, Iclass: JUMP
Address in frontend: 000055B6B2A77828, Iclass: ALU
Address in frontend: 000055B6B2A7782F, Iclass: JUMP
Address in frontend: 000055B6B2A77835, Iclass: ALU
Address in frontend: 000055B6B2A7783C, Iclass: JUMP
Address in frontend: 000055B6B2A77622, Iclass: MOV
Address in frontend: 000055B6B2A7762B, Iclass: MOV
Address in frontend: 000055B6B2A77632, Iclass: ALU
Address in frontend: 000055B6B2A77635, Iclass: JUMP
Address in frontend: 000055B6B2A7763B, Iclass: ALU
Address in frontend: 000055B6B2A7763E, Iclass: MOV
Address in frontend: 000055B6B2A77641, Iclass: ALU
Address in frontend: 000055B6B2A77648, Iclass: ALU
Address in frontend: 000055B6B2A7764A, Iclass: ALU
Address in frontend: 000055B6B2A7764E, Iclass: MOV
Address in frontend: 000055B6B2A77657, Iclass: MOV
Address in frontend: 000055B6B2A7765E, Iclass: ALU
Address in frontend: 000055B6B2A77661, Iclass: JUMP
Address in frontend: 000055B6B2A77667, Iclass: ALU
Address in frontend: 000055B6B2A7766A, Iclass: MOV
Address in frontend: 000055B6B2A7766E, Iclass: ALU
Address in frontend: 000055B6B2A77671, Iclass: JUMP
Address in frontend: 000055B6B2A77747, Iclass: ALU
Address in frontend: 000055B6B2A7774A, Iclass: JUMP
Address in frontend: 000055B6B2A776C0, Iclass: MOV
Address in frontend: 000055B6B2A776C9, Iclass: MOV
Address in frontend: 000055B6B2A776CF, Iclass: ALU
Address in frontend: 000055B6B2A776D1, Iclass: JUMP
Address in frontend: 000055B6B2A776D7, Iclass: ALU
Address in frontend: 000055B6B2A776DB, Iclass: POP
Address in frontend: 000055B6B2A776DC, Iclass: POP
Address in frontend: 000055B6B2A776DE, Iclass: POP
Address in frontend: 000055B6B2A776DF, Iclass: POP
Address in frontend: 000055B6B534A3F1, Iclass: MOV
Address in frontend: 000055B6B534A3F6, Iclass: MOV
Address in frontend: 000055B6B534A3FD, Iclass: ALU
Address in frontend: 000055B6B534A400, Iclass: JUMP
Address in frontend: 000055B6B534A402, Iclass: ALU
Address in frontend: 000055B6B534A40A, Iclass: JUMP
Address in frontend: 000055B6B534A40C, Iclass: MOV
Address in frontend: 000055B6B534A412, Iclass: ALU
Address in frontend: 000055B6B534A419, Iclass: MOV
Address in frontend: 000055B6B534A41D, Iclass: MOV
Address in frontend: 000055B6B534A421, Iclass: MOV
Address in frontend: 000055B6B534A427, Iclass: ALU
Address in frontend: 000055B6B534A42F, Iclass: ALU
Address in frontend: 000055B6B534A433, Iclass: POP
Address in frontend: 000055B6B534A434, Iclass: POP
Address in frontend: 000055B6B534A436, Iclass: POP
Address in frontend: 000055B6B534A438, Iclass: JUMP
Address in frontend: 000055B6B53594D0, Iclass: MOV
Address in frontend: 000055B6B53594D4, Iclass: MOV
Address in frontend: 000055B6B53594D7, Iclass: MOV
Address in frontend: 000055B6B53594DA, Iclass: ALU
Address in frontend: 000055B6B53594DD, Iclass: ALU
Address in frontend: 000055B6B53594E0, Iclass: JUMP
Address in frontend: 000055B6B53595B8, Iclass: MOV
Address in frontend: 000055B6B53595BC, Iclass: ALU
Address in frontend: 000055B6B53595C3, Iclass: CALL
Address in frontend: 000055B6B53444F8, Iclass: MOV
Address in frontend: 000055B6B53444FB, Iclass: MOV
Address in frontend: 000055B6B53444FF, Iclass: CALL
Address in frontend: 000055B6B53450D0, Iclass: PUSH
Address in frontend: 000055B6B53450D1, Iclass: MOV
Address in frontend: 000055B6B53450D4, Iclass: PUSH
Address in frontend: 000055B6B53450D5, Iclass: MOV
Address in frontend: 000055B6B53450D8, Iclass: ALU
Address in frontend: 000055B6B53450DC, Iclass: MOV
Address in frontend: 000055B6B53450DF, Iclass: MOV
Address in frontend: 000055B6B53450E3, Iclass: CALL
Address in frontend: 000055B6B53451D0, Iclass: PUSH
Address in frontend: 000055B6B53451D1, Iclass: MOV
Address in frontend: 000055B6B53451D4, Iclass: PUSH
Address in frontend: 000055B6B53451D6, Iclass: PUSH
Address in frontend: 000055B6B53451D8, Iclass: PUSH
Address in frontend: 000055B6B53451DA, Iclass: PUSH
Address in frontend: 000055B6B53451DB, Iclass: MOV
Address in frontend: 000055B6B53451DE, Iclass: ALU
Address in frontend: 000055B6B53451E2, Iclass: ALU
Address in frontend: 000055B6B53451E9, Iclass: JUMP
Address in frontend: 000055B6B53451EF, Iclass: MOV
Address in frontend: 000055B6B53451F6, Iclass: ALU
Address in frontend: 000055B6B53451FD, Iclass: ALU
Address in frontend: 000055B6B5345200, Iclass: JUMP
Address in frontend: 000055B6B53454C8, Iclass: ALU
Address in frontend: 000055B6B53454CC, Iclass: MOV
Address in frontend: 000055B6B53454CF, Iclass: POP
Address in frontend: 000055B6B53454D0, Iclass: POP
Address in frontend: 000055B6B53454D2, Iclass: POP
Address in frontend: 000055B6B53454D4, Iclass: POP
Address in frontend: 000055B6B53454D6, Iclass: POP
Address in frontend: 000055B6B53454D7, Iclass: JUMP
Address in frontend: 000055B6B5351B10, Iclass: ALU
Address in frontend: 000055B6B5351B12, Iclass: ALU
Address in frontend: 000055B6B5351B15, Iclass: ALU
Address in frontend: 000055B6B5351B17, Iclass: JUMP
Address in frontend: 000055B6B5351B19, Iclass: MOV
Address in frontend: 000055B6B5351B23, Iclass: ALU
Address in frontend: 000055B6B5351B27, Iclass: JUMP
Address in frontend: 000055B6B5351B29, Iclass: JUMP
Address in frontend: 000055B6B5351B36, Iclass: MOV
Address in frontend: 000055B6B5351B39, Iclass: ALU
Address in frontend: 000055B6B5351B3C, Iclass: ALU
Address in frontend: 000055B6B5351B3F, Iclass: JUMP
