Core, 0
ICACHE_STAGE_NOT_STARVED_count,            13
ICACHE_STAGE_NOT_STARVED_pct,        0.847
ICACHE_STAGE_NOT_STARVED_total_count,            13
ICACHE_STAGE_NOT_STARVED_total_pct,        0.847
ICACHE_STAGE_NOT_STARVED_sum_count,          1534
ICACHE_STAGE_NOT_STARVED_sum_pct,      100.000
ICACHE_STAGE_NOT_STARVED_sum_total_count,          1534
ICACHE_STAGE_NOT_STARVED_sum_total_pct,      100.000
ICACHE_STAGE_NOT_STARVED_mean,         0.01
ICACHE_STAGE_NOT_STARVED_stddev,         0.09
ICACHE_STAGE_NOT_STARVED_total_mean,         0.01
ICACHE_STAGE_NOT_STARVED_total_stddev,         0.09

ICACHE_STAGE_STALLED_count,             0
ICACHE_STAGE_STALLED_pct,        0.000
ICACHE_STAGE_STALLED_total_count,             0
ICACHE_STAGE_STALLED_total_pct,        0.000

ICACHE_STAGE_NOT_STALLED_count,           842
ICACHE_STAGE_NOT_STALLED_pct,       79.735
ICACHE_STAGE_NOT_STALLED_total_count,           842
ICACHE_STAGE_NOT_STALLED_total_pct,       79.735

ICACHE_STAGE_OFF_PATH_count,           214
ICACHE_STAGE_OFF_PATH_pct,       20.265
ICACHE_STAGE_OFF_PATH_total_count,           214
ICACHE_STAGE_OFF_PATH_total_pct,       20.265
ICACHE_STAGE_OFF_PATH_sum_count,          1056
ICACHE_STAGE_OFF_PATH_sum_pct,      100.000
ICACHE_STAGE_OFF_PATH_sum_total_count,          1056
ICACHE_STAGE_OFF_PATH_sum_total_pct,      100.000
ICACHE_STAGE_OFF_PATH_mean,         1.20
ICACHE_STAGE_OFF_PATH_stddev,         0.67
ICACHE_STAGE_OFF_PATH_total_mean,         1.20
ICACHE_STAGE_OFF_PATH_total_stddev,         0.67

DECODE_STAGE_STARVED_count,           834
DECODE_STAGE_STARVED_pct,       97.658
DECODE_STAGE_STARVED_total_count,           834
DECODE_STAGE_STARVED_total_pct,       97.658

DECODE_STAGE_NOT_STARVED_count,            20
DECODE_STAGE_NOT_STARVED_pct,        2.342
DECODE_STAGE_NOT_STARVED_total_count,            20
DECODE_STAGE_NOT_STARVED_total_pct,        2.342
DECODE_STAGE_NOT_STARVED_sum_count,           854
DECODE_STAGE_NOT_STARVED_sum_pct,      100.000
DECODE_STAGE_NOT_STARVED_sum_total_count,           854
DECODE_STAGE_NOT_STARVED_sum_total_pct,      100.000
DECODE_STAGE_NOT_STARVED_mean,         0.02
